plate_text,plate_count,detection_count,max_confidence,bbox_summary,raw_plate_text,high_conf_detection,all_unique_plates,unique_plate_count,frame_plate_text,image
"[""51G-495.39""]",[1],1,0.9489172697067261,,"[""51G-495.39""]",True,"[""51G-495.39""]",[1],"[""51G-495.39""]",CarLongPlate105.jpg
"[""51A-012.04""]",[1],1,0.929951012134552,,"[""51A\u00b7012.04""]",True,"[""51A-012.04""]",[1],"[""51A-012.04""]",CarLongPlate109.jpg
"[""51F-222.61""]",[1],1,0.9392480850219727,,"[""51F-222.61""]",True,"[""51F-222.61""]",[1],"[""51F-222.61""]",CarLongPlate11.jpg
"[""51A-853.25""]",[1],1,0.9393594861030579,,"[""51A\u00b7853.25""]",True,"[""51A-853.25""]",[1],"[""51A-853.25""]",CarLongPlate119.jpg
"[""51G-495.24""]",[1],1,0.958304226398468,,"[""51G-495.24""]",True,"[""51G-495.24""]",[1],"[""51G-495.24""]",CarLongPlate13.jpg
"[""51G-228.07""]",[1],1,0.9530133008956909,,"[""51G-228.07""]",True,"[""51G-228.07""]",[1],"[""51G-228.07""]",CarLongPlate135.jpg
"[""51G-251.81""]",[1],1,0.9305844902992249,,"[""51G-251.81""]",True,"[""51G-251.81""]",[1],"[""51G-251.81""]",CarLongPlate137.jpg
"[""51F-598.81""]",[1],1,0.9437636137008667,,"[""51F\u00b7598.81""]",True,"[""51F-598.81""]",[1],"[""51F-598.81""]",CarLongPlate141.jpg
"[""51F-161.59""]",[1],1,0.9525741338729858,,"[""51F\u00b7161.59""]",True,"[""51F-161.59""]",[1],"[""51F-161.59""]",CarLongPlate159.jpg
"[""43A-186.50""]",[1],1,0.937210738658905,,"[""43A-186.50""]",True,"[""43A-186.50""]",[1],"[""43A-186.50""]",CarLongPlate179.jpg
"[""60A-359.81""]",[1],1,0.9403530955314636,,"[""60A-359.81""]",True,"[""60A-359.81""]",[1],"[""60A-359.81""]",CarLongPlate185.jpg
"[""51F-075.68""]",[1],1,0.9537081718444824,,"[""51F-075.68""]",True,"[""51F-075.68""]",[1],"[""51F-075.68""]",CarLongPlate191.jpg
"[""51F-069.48""]",[1],1,0.929440438747406,,"[""51F\u00b7069.48""]",True,"[""51F-069.48""]",[1],"[""51F-069.48""]",CarLongPlate197.jpg
