plate_text,plate_count,detection_count,max_confidence,bbox_summary,raw_plate_text,high_conf_detection,all_unique_plates,unique_plate_count,frame_plate_text
"[""59X-298517"", ""51F-814.75"", ""54-714698"", ""63SL-1981""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-71\n4698"", ""63-SL\n198L""]",False,"[""59X-298517"", ""51F-814.75"", ""54-714698"", ""63SL-1981""]","[1, 1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54-714698"", ""63SL-1981""]"
"[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""638L-1981""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-T1\n4698"", ""63-8L\n198L""]",False,"[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""638L-1981""]","[1, 1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""638L-1981""]"
"[""59X-298517"", ""51F-814.75"", ""54-714698"", ""638L-1981""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-71\n4698"", ""63-8L\n198L""]",False,"[""59X-298517"", ""51F-814.75"", ""54-714698"", ""638L-1981""]","[1, 1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54-714698"", ""638L-1981""]"
"[""59X-298517"", ""51F-814.75"", ""5L-714698"", ""635L-1981""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""5L-71\n4698"", ""G3-5L\n198L""]",False,"[""59X-298517"", ""51F-814.75"", ""5L-714698"", ""635L-1981""]","[1, 1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""5L-714698"", ""635L-1981""]"
"[""59X-298517"", ""51F-814.75"", ""54-714698"", ""63SL-1981""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-71\n4698"", ""G3-SL\n198L""]",False,"[""59X-298517"", ""51F-814.75"", ""54-714698"", ""63SL-1981""]","[1, 1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54-714698"", ""63SL-1981""]"
"[""59X-298517"", ""51F-814.75"", ""54T-146.98""]","[1, 1, 1]",3,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-T1\n4698""]",False,"[""59X-298517"", ""51F-814.75"", ""54T-146.98""]","[1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54T-146.98""]"
"[""59X-298517"", ""51F-814.75"", ""54T-146.98""]","[1, 1, 1]",3,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-T1\n4698""]",False,"[""59X-298517"", ""51F-814.75"", ""54T-146.98""]","[1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54T-146.98""]"
"[""59X-298517"", ""51F-814.75"", ""54T-146.98""]","[1, 1, 1]",3,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-T1\n4698""]",False,"[""59X-298517"", ""51F-814.75"", ""54T-146.98""]","[1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54T-146.98""]"
"[""59X-298517"", ""51F-814.75"", ""54T-146.98""]","[1, 1, 1]",3,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-T1\n4698""]",False,"[""59X-298517"", ""51F-814.75"", ""54T-146.98""]","[1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54T-146.98""]"
"[""59X-298517"", ""51F-814.75"", ""54TT-4698"", ""63SL-F19.81""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-TT\n4698"", ""G3-SL\nF198L""]",False,"[""59X-298517"", ""51F-814.75"", ""54TT-4698"", ""63SL-F19.81""]","[1, 1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54TT-4698"", ""63SL-F19.81""]"
"[""59X-298517"", ""51F-814.75"", ""54-714698"", ""63SL-1984""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-71\n4698"", ""63-SL\n1984""]",False,"[""59X-298517"", ""51F-814.75"", ""54-714698"", ""63SL-1984""]","[1, 1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54-714698"", ""63SL-1984""]"
"[""59X-298517"", ""51F-814.75"", ""54-774698"", ""63SL-1984""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-77\n4698"", ""63-SL\n1984""]",False,"[""59X-298517"", ""51F-814.75"", ""54-774698"", ""63SL-1984""]","[1, 1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54-774698"", ""63SL-1984""]"
"[""59X-298517"", ""51F-814.75"", ""54-714698"", ""63SL-1984""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-71\n4698"", ""63-SL\n1984""]",False,"[""59X-298517"", ""51F-814.75"", ""54-714698"", ""63SL-1984""]","[1, 1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54-714698"", ""63SL-1984""]"
"[""59X-298517"", ""51F-814.75"", ""54-714698"", ""63SL-1984""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-71\n4698"", ""63-SL\n1984""]",False,"[""59X-298517"", ""51F-814.75"", ""54-714698"", ""63SL-1984""]","[1, 1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54-714698"", ""63SL-1984""]"
"[""59X-298517"", ""51F-814.75"", ""54-774698"", ""63SL-1984""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-77\n4698"", ""63-SL\n1984""]",False,"[""59X-298517"", ""51F-814.75"", ""54-774698"", ""63SL-1984""]","[1, 1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54-774698"", ""63SL-1984""]"
"[""59X-298517"", ""51F-814.75"", ""54-714698"", ""63SL-1984""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-71\n4698"", ""63-SL\n1984""]",False,"[""59X-298517"", ""51F-814.75"", ""54-714698"", ""63SL-1984""]","[1, 1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54-714698"", ""63SL-1984""]"
"[""59X-298517"", ""51F-814.75"", ""54-714698"", ""63SL-1984""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-71\n4698"", ""63-SL\n1984""]",False,"[""59X-298517"", ""51F-814.75"", ""54-714698"", ""63SL-1984""]","[1, 1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54-714698"", ""63SL-1984""]"
"[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""163S-119.81""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-T1\n4698"", ""163-SL\n198L""]",False,"[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""163S-119.81""]","[1, 1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""163S-119.81""]"
"[""59X-298517"", ""51F-814.75"", ""54T-146.98""]","[1, 1, 1]",3,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-T1\n4698""]",False,"[""59X-298517"", ""51F-814.75"", ""54T-146.98""]","[1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54T-146.98""]"
"[""59X-298517"", ""54-714698"", ""51F-814.75""]","[1, 1, 1]",3,0.0,,"[""59-X2\n985.17"", ""54-71\n4698"", ""51F\n814.75""]",False,"[""59X-298517"", ""54-714698"", ""51F-814.75""]","[1, 1, 1]","[""59X-298517"", ""54-714698"", ""51F-814.75""]"
"[""59X-298517"", ""54-714698"", ""51F-814.75"", ""163S-119.84""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n985.17"", ""54-71\n4698"", ""51F\n814.75"", ""163-SL\n1984""]",False,"[""59X-298517"", ""54-714698"", ""51F-814.75"", ""163S-119.84""]","[1, 1, 1, 1]","[""59X-298517"", ""54-714698"", ""51F-814.75"", ""163S-119.84""]"
"[""59X-298517"", ""51F-814.75"", ""54TT-4698"", ""163S-119.84""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-TT\n4698"", ""163-SL\n1984""]",False,"[""59X-298517"", ""51F-814.75"", ""54TT-4698"", ""163S-119.84""]","[1, 1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54TT-4698"", ""163S-119.84""]"
"[""59X-298517"", ""54-714698"", ""51F-814.75"", ""63SL-1981""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n985.17"", ""54-71\n4698"", ""51F\n814.75"", ""63-SL\n198L""]",False,"[""59X-298517"", ""54-714698"", ""51F-814.75"", ""63SL-1981""]","[1, 1, 1, 1]","[""59X-298517"", ""54-714698"", ""51F-814.75"", ""63SL-1981""]"
"[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""63-541984""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-T1\n4698"", ""63-54\n1984""]",False,"[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""63-541984""]","[1, 1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54T-146.98"", ""63-541984""]"
"[""59X-298517"", ""51F-814.75"", ""54-714698"", ""63-541984""]","[1, 1, 1, 1]",4,0.0,,"[""59-X2\n985.17"", ""51F\n814.75"", ""54-71\n4698"", ""63-54\n1984""]",False,"[""59X-298517"", ""51F-814.75"", ""54-714698"", ""63-541984""]","[1, 1, 1, 1]","[""59X-298517"", ""51F-814.75"", ""54-714698"", ""63-541984""]"
