image,gt_text,pred_text,gt_norm,pred_norm,max_confidence,is_exact_match,ned,is_valid_format
CarLongPlate105.jpg,51G-495.39,51G-495.39,51G-495-39,51G-495-39,0.948917269706726,True,1.0,True
CarLongPlate109.jpg,51A-012.04,51A·012.04,51A-012-04,51A-012-04,0.929951012134552,True,1.0,True
CarLongPlate11.jpg,51F-222.61,51F-222.61,51F-222-61,51F-222-61,0.9392480850219728,True,1.0,True
CarLongPlate119.jpg,51A-853.25,51A·853.25,51A-853-25,51A-853-25,0.939359486103058,True,1.0,True
CarLongPlate13.jpg,51G-495.24,51G-495.24,51G-495-24,51G-495-24,0.958304226398468,True,1.0,True
CarLongPlate135.jpg,51G-228.07,51G-228.07,51G-228-07,51G-228-07,0.9530133008956908,True,1.0,True
CarLongPlate137.jpg,51G-251.81,51G-251.81,51G-251-81,51G-251-81,0.9305844902992249,True,1.0,True
CarLongPlate141.jpg,51F-598.81,51F·598.81,51F-598-81,51F-598-81,0.9437636137008668,True,1.0,True
CarLongPlate159.jpg,51F-161.59,51F·161.59,51F-161-59,51F-161-59,0.9525741338729858,True,1.0,True
CarLongPlate179.jpg,43A-186.50,43A-186.50,43A-186-50,43A-186-50,0.937210738658905,True,1.0,True
CarLongPlate185.jpg,60A-359.81,60A-359.81,60A-359-81,60A-359-81,0.9403530955314636,True,1.0,True
CarLongPlate191.jpg,51F-075.68,51F-075.68,51F-075-68,51F-075-68,0.9537081718444824,True,1.0,True
CarLongPlate197.jpg,51F-069.48,51F·069.48,51F-069-48,51F-069-48,0.929440438747406,True,1.0,True
CarLongPlate223.jpg,51A-654.74,51A·654.74,51A-654-74,51A-654-74,0.9234544038772584,True,1.0,True
CarLongPlate23.jpg,51G-472.81,51G-472.81,51G-472-81,51G-472-81,0.9475754499435424,True,1.0,True
CarLongPlate233.jpg,60LD-005.84,60LD-005.84,60LD-005-84,60LD-005-84,0.9441768527030944,True,1.0,True
CarLongPlate235.jpg,51F-893.57,51F-893.57,51F-893-57,51F-893-57,0.954647421836853,True,1.0,True
CarLongPlate237.jpg,51F-220.29,51F-220.29,51F-220-29,51F-220-29,0.9459012746810912,True,1.0,True
